SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
6/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
10/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
11/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
12/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
13/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
14/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
15/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
16/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
17/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
18/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
19/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
20/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
21/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
22/09/2018 0:00,-970,-500,0,30,60,90,120,150,300,899
23/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
24/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
25/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
26/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
27/09/2018 0:00,-977.11,0,90,120,200,300,450,1000,5000,13500
28/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
29/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
30/09/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
1/10/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
2/10/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
3/10/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
4/10/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
5/10/2018 0:00,-985.3,-500,0,30,60,90,120,150,300,899
6/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
7/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
8/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
9/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
10/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
11/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
12/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
13/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
14/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
15/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
16/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
17/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
18/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
19/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
20/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
21/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
22/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
23/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
24/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
25/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
26/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
27/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
28/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
29/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
30/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
31/10/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
1/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
2/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
3/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
4/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
5/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
6/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
7/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
8/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
9/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
10/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
11/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
12/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
13/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
14/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
15/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
16/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
17/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
18/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
19/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
20/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
21/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
22/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
23/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
24/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
25/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
26/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
27/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
28/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
29/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
30/11/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
1/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
2/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
3/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
4/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
5/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
6/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
7/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
8/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
9/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
